local_prefix,local_code,vocabulary,mapped_to_code,mapped_to_description
AEMPS,602719,Strength,2 MG/ML,
AEMPS,602719,RxNorm,26225,ondansetron
AEMPS,602719,Route,Injectable Product,
AEMPS,602759,RxNorm,1546458,picosulfurate
AEMPS,602759,RxNorm,21183,citric acid
AEMPS,602759,RxNorm,6582,magnesium oxide
AEMPS,602759,Route,Oral Product,
AEMPS,602761,Strength,40 MG,
AEMPS,602761,RxNorm,40790,pantoprazole
AEMPS,602761,Route,Oral Product,
AEMPS,602762,Strength,40 MG,
AEMPS,602762,RxNorm,40790,pantoprazole
AEMPS,602762,Route,Injectable Product,
AEMPS,602811,Strength,500 MG,
AEMPS,602811,RxNorm,82122,levofloxacin
AEMPS,602811,Route,Oral Product,
AEMPS,602812,Strength,40 MG,
AEMPS,602812,RxNorm,40790,pantoprazole
AEMPS,602812,Route,Injectable Product,
AEMPS,602819,RxNorm,48203,clavulanate
AEMPS,602819,RxDrug,617296,amoxicillin 500 MG / clavulanate 125 MG Oral Tablet
AEMPS,602819,RxNorm,723,amoxicillin
AEMPS,602819,Route,Oral Product,
AEMPS,602853,Strength,50 MG,
AEMPS,602853,RxNorm,6313,leucovorin
AEMPS,602853,Route,Injectable Product,
AEMPS,602855,Strength,350 MG,
AEMPS,602855,RxNorm,6313,leucovorin
AEMPS,602855,Route,Injectable Product,
AEMPS,602859,RxNorm,69749,valsartan
AEMPS,602859,Strength,80 MG,
AEMPS,602859,Route,Oral Product,
AEMPS,602860,Strength,160 MG,
AEMPS,602860,RxNorm,69749,valsartan
AEMPS,602860,Route,Oral Product,
AEMPS,602861,Strength,9 MG/ML,
AEMPS,602861,RxNorm,9863,sodium chloride
AEMPS,602861,Route,Injectable Product,
AEMPS,602862,Strength,500 MG,
AEMPS,602862,RxNorm,82122,levofloxacin
AEMPS,602862,Route,Oral Product,
AEMPS,602870,Strength,5 MG/ML,
AEMPS,602870,RxNorm,82122,levofloxacin
AEMPS,602870,Route,Injectable Product,
AEMPS,602904,RxNorm,7980,penicillin G
AEMPS,602904,Route,Injectable Product,
AEMPS,602913,Strength,20 MG/ML,
AEMPS,602913,RxNorm,6759,mepivacaine
AEMPS,602913,Route,Injectable Product,
AEMPS,602914,Strength,20 MG/ML,
AEMPS,602914,RxNorm,6759,mepivacaine
AEMPS,602914,Route,Injectable Product,
AEMPS,602916,Strength,10 MG/ML,
AEMPS,602916,RxNorm,6387,lidocaine
AEMPS,602916,Route,Injectable Product,
AEMPS,602917,Strength,20 MG/ML,
AEMPS,602917,RxNorm,6387,lidocaine
AEMPS,602917,Route,Injectable Product,
AEMPS,602954,Strength,1 MG,
AEMPS,602954,RxNorm,35636,risperidone
AEMPS,602954,Route,Oral Product,
AEMPS,603003,Strength,5 MG/ML,
AEMPS,603003,RxNorm,6813,methadone
AEMPS,603003,Route,Oral Product,
AEMPS,603013,Strength,300 MG,
AEMPS,603013,RxNorm,32968,clopidogrel
AEMPS,603013,Route,Oral Product,
AEMPS,603030,Strength,1 MG/ML,
AEMPS,603030,RxNorm,7512,norepinephrine
AEMPS,603030,Route,Injectable Product,
AEMPS,603031,Strength,20 MG/ML,
AEMPS,603031,RxNorm,6759,mepivacaine
AEMPS,603031,Route,Injectable Product,
AEMPS,603057,Strength,40 MG,
AEMPS,603057,RxNorm,40790,pantoprazole
AEMPS,603057,Route,Injectable Product,
AEMPS,603079,Strength,30 MG/ML,
AEMPS,603079,RxNorm,35827,ketorolac
AEMPS,603079,Route,Injectable Product,
AEMPS,603080,Strength,100 MG/ML,
AEMPS,603080,RxNorm,1726988,sugammadex
AEMPS,603080,Route,Injectable Product,
AEMPS,603081,Strength,100 MG/ML,
AEMPS,603081,RxNorm,1726988,sugammadex
AEMPS,603081,Route,Injectable Product,
AEMPS,603082,Strength,10 MG,
AEMPS,603082,RxNorm,1114195,rivaroxaban
AEMPS,603082,Route,Oral Product,
AEMPS,603118,Strength,20 MG,
AEMPS,603118,RxNorm,4493,fluoxetine
AEMPS,603118,Route,Oral Product,
AEMPS,603140,Strength,20 MG,
AEMPS,603140,RxNorm,32937,paroxetine
AEMPS,603140,Route,Oral Product,
AEMPS,603181,Strength,2 MG/ML,
AEMPS,603181,RxNorm,2551,ciprofloxacin
AEMPS,603181,Route,Injectable Product,
AEMPS,603182,Strength,2 MG/ML,
AEMPS,603182,RxNorm,2551,ciprofloxacin
AEMPS,603182,Route,Injectable Product,
AEMPS,603189,Strength,5 MG/ML,
AEMPS,603189,RxNorm,82122,levofloxacin
AEMPS,603189,Route,Injectable Product,
AEMPS,603208,Strength,20 MG,
AEMPS,603208,RxNorm,40790,pantoprazole
AEMPS,603208,Route,Oral Product,
AEMPS,603229,Strength,10 MG,
AEMPS,603229,RxNorm,321988,escitalopram
AEMPS,603229,Route,Oral Product,
AEMPS,603234,Strength,25 MG,
AEMPS,603234,RxNorm,51272,quetiapine
AEMPS,603234,Route,Oral Product,
AEMPS,603235,Strength,100 MG,
AEMPS,603235,RxNorm,51272,quetiapine
AEMPS,603235,Route,Oral Product,
AEMPS,603239,RxNorm,1363917,Streptococcus pneumoniae
AEMPS,603239,RxNorm,854962,Streptococcus pneumoniae type 4 capsular polysaccharide antigen
AEMPS,603239,RxNorm,854966,Streptococcus pneumoniae type 6B capsular polysaccharide antigen
AEMPS,603239,RxNorm,854968,Streptococcus pneumoniae type 7F capsular polysaccharide antigen
AEMPS,603239,Route,Injectable Product,
AEMPS,603243,Strength,300 MG,
AEMPS,603243,RxNorm,51272,quetiapine
AEMPS,603243,Route,Oral Product,
AEMPS,603244,RxNorm,5640,ibuprofen
AEMPS,603244,Strength,600 MG,
AEMPS,603244,Route,Oral Product,
AEMPS,603248,Strength,1000 MG,
AEMPS,603248,RxNorm,2191,ceftazidime
AEMPS,603248,Route,Injectable Product,
AEMPS,603258,Strength,10 MG,
AEMPS,603258,RxNorm,7417,nifedipine
AEMPS,603258,Route,Oral Product,
AEMPS,603286,RxNorm,253204,trisodium citrate
AEMPS,603286,RxNorm,314832,sodium lauryl sulfoacetate
AEMPS,603286,Route,Rectal Product,
AEMPS,603340,Strength,20 MG,
AEMPS,603340,RxNorm,7417,nifedipine
AEMPS,603340,Route,Oral Product,
AEMPS,603434,Strength,0.7 ML/ML,
AEMPS,603434,RxNorm,4910,glycerin
AEMPS,603434,Route,Rectal Product,
AEMPS,603472,Strength,500 MG,
AEMPS,603472,RxNorm,723,amoxicillin
AEMPS,603472,Route,Oral Product,
AEMPS,603477,Strength,100 MG/ML,
AEMPS,603477,RxNorm,4850,glucose
AEMPS,603477,Route,Injectable Product,
AEMPS,603498,Strength,0.25 MG,
AEMPS,603498,RxNorm,3407,digoxin
AEMPS,603498,Route,Oral Product,
AEMPS,603506,Strength,0.25 MG/ML,
AEMPS,603506,RxNorm,3407,digoxin
AEMPS,603506,Route,Injectable Product,
AEMPS,603527,Strength,5 MG/ML,
AEMPS,603527,RxNorm,82122,levofloxacin
AEMPS,603527,Route,Injectable Product,
AEMPS,603544,RxNorm,4492,fluorouracil
AEMPS,603544,Strength,50 MG/ML,
AEMPS,603544,Route,Injectable Product,
AEMPS,603551,Strength,12500 UNT/ML,
AEMPS,603551,RxNorm,280611,bemiparin
AEMPS,603551,Route,Injectable Product,
AEMPS,603552,Strength,25000 UNT/ML,
AEMPS,603552,RxNorm,280611,bemiparin
AEMPS,603552,Route,Injectable Product,
AEMPS,603553,Strength,25000 UNT/ML,
AEMPS,603553,RxNorm,280611,bemiparin
AEMPS,603553,Route,Injectable Product,
AEMPS,603554,Strength,25000 UNT/ML,
AEMPS,603554,RxNorm,280611,bemiparin
AEMPS,603554,Route,Injectable Product,
AEMPS,603556,RxNorm,280611,bemiparin
AEMPS,603556,Route,Injectable Product,
AEMPS,603564,Strength,1.5 MG,
AEMPS,603564,RxNorm,1749,bromazepam
AEMPS,603564,Route,Oral Product,
AEMPS,603625,RxNorm,1311065,barium chloride
AEMPS,603625,Route,Oral Product,
AEMPS,603631,RxNorm,1311065,barium chloride
AEMPS,603631,Route,Oral Product,
AEMPS,603674,Strength,10 MG,
AEMPS,603674,RxNorm,613391,prasugrel
AEMPS,603674,Route,Oral Product,
AEMPS,603985,Strength,10 MG,
AEMPS,603985,RxNorm,1085787,butylscopolamine
AEMPS,603985,Route,Oral Product,
AEMPS,603993,RxNorm,1085787,butylscopolamine
AEMPS,603993,Strength,20 MG/ML,
AEMPS,603993,Route,Injectable Product,
AEMPS,604017,RxNorm,1085787,butylscopolamine
AEMPS,604025,RxNorm,1085787,butylscopolamine
AEMPS,604025,RxNorm,3523,dipyrone
AEMPS,604025,Route,Injectable Product,
AEMPS,604231,Strength,250 MG,
AEMPS,604231,RxNorm,6922,metronidazole
AEMPS,604231,Route,Oral Product,
AEMPS,604298,RxNorm,3523,dipyrone
AEMPS,604298,Strength,575 MG,
AEMPS,604298,Route,Oral Product,
AEMPS,604306,RxNorm,3523,dipyrone
AEMPS,604306,Strength,400 MG/ML,
AEMPS,604306,Route,Injectable Product,
AEMPS,604314,RxNorm,3523,dipyrone
AEMPS,604355,RxNorm,3523,dipyrone
AEMPS,604355,Strength,500 MG,
AEMPS,604355,Route,Rectal Product,
AEMPS,604449,Strength,1 MG,
AEMPS,604449,RxNorm,6470,lorazepam
AEMPS,604449,Route,Oral Product,
AEMPS,604450,Strength,200 MG,
AEMPS,604450,RxNorm,281,acyclovir
AEMPS,604450,Route,Oral Product,
AEMPS,604520,RxNorm,2551,ciprofloxacin
AEMPS,604520,Strength,500 MG,
AEMPS,604520,Route,Oral Product,
AEMPS,604538,RxNorm,2551,ciprofloxacin
AEMPS,604538,Strength,750 MG,
AEMPS,604538,Route,Oral Product,
AEMPS,604660,Strength,1000 MG,
AEMPS,604660,RxNorm,10109,streptomycin
AEMPS,604660,Route,Injectable Product,
AEMPS,604678,Strength,150 MG/ML,
AEMPS,604678,RxNorm,2582,clindamycin
AEMPS,604678,Route,Injectable Product,
AEMPS,604694,Strength,150 MG/ML,
AEMPS,604694,RxNorm,2582,clindamycin
AEMPS,604694,Route,Injectable Product,
AEMPS,604744,RxNorm,4550,fosfomycin
AEMPS,604751,RxNorm,4550,fosfomycin
AEMPS,604884,RxNorm,7980,penicillin G
AEMPS,604884,Route,Injectable Product,
AEMPS,605135,Strength,9 MG/ML,
AEMPS,605135,RxNorm,9863,sodium chloride
AEMPS,605135,Route,Injectable Product,
AEMPS,605137,Strength,9 MG/ML,
AEMPS,605137,RxNorm,9863,sodium chloride
AEMPS,605137,Route,Injectable Product,
AEMPS,605170,Strength,5 MG/ML,
AEMPS,605170,RxNorm,6960,midazolam
AEMPS,605170,Route,Injectable Product,
AEMPS,605378,RxNorm,7980,penicillin G
AEMPS,605378,Route,Injectable Product,
AEMPS,605388,Strength,1000 MG,
AEMPS,605388,RxNorm,29561,meropenem
AEMPS,605388,Route,Injectable Product,
AEMPS,605396,RxNorm,1712,botulinum toxin type A
AEMPS,605396,Strength,50 UNT,
AEMPS,605396,Route,Injectable Product,
AEMPS,605408,Strength,2 MG/ML,
AEMPS,605408,RxNorm,26225,ondansetron
AEMPS,605408,Route,Injectable Product,
AEMPS,605455,RxNorm,29561,meropenem
AEMPS,605455,Strength,500 MG,
AEMPS,605455,Route,Injectable Product,
AEMPS,605457,Strength,1000 MG,
AEMPS,605457,RxNorm,29561,meropenem
AEMPS,605457,Route,Injectable Product,
AEMPS,605460,RxNorm,1364430,apixaban
AEMPS,605460,Strength,2.5 MG,
AEMPS,605460,Route,Oral Product,
AEMPS,605473,Strength,5 MG/ML,
AEMPS,605473,RxNorm,82122,levofloxacin
AEMPS,605473,Route,Injectable Product,
AEMPS,605565,RxNorm,56443,sodium acetate
AEMPS,605565,RxNorm,6579,magnesium chloride
AEMPS,605565,RxNorm,8591,potassium chloride
AEMPS,605565,RxNorm,9863,sodium chloride
AEMPS,605565,Route,Injectable Product,
AEMPS,605577,RxNorm,1712,botulinum toxin type A
AEMPS,605577,Strength,50 UNT,
AEMPS,605577,Route,Injectable Product,
AEMPS,605579,Strength,10 MG/ML,
AEMPS,605579,RxNorm,8782,propofol
AEMPS,605579,Route,Injectable Product,
AEMPS,605628,RxNorm,114477,levetiracetam
AEMPS,605628,Strength,500 MG,
AEMPS,605628,Route,Oral Product,
AEMPS,605680,Strength,500 MG,
AEMPS,605680,RxNorm,82122,levofloxacin
AEMPS,605680,Route,Oral Product,
AEMPS,605710,Strength,14 MG/ML,
AEMPS,605710,RxNorm,36676,sodium bicarbonate
AEMPS,605710,Route,Injectable Product,
AEMPS,605711,RxNorm,1114195,rivaroxaban
AEMPS,605711,Strength,15 MG,
AEMPS,605711,Route,Oral Product,
AEMPS,605712,RxNorm,1114195,rivaroxaban
AEMPS,605712,Strength,20 MG,
AEMPS,605712,Route,Oral Product,
AEMPS,605743,Strength,2400 MG,
AEMPS,605743,RxNorm,6581,magnesium hydroxide
AEMPS,605743,Route,Oral Product,
AEMPS,605779,Strength,10 MG/ML,
AEMPS,605779,RxNorm,161,acetaminophen
AEMPS,605779,Route,Injectable Product,
AEMPS,605786,Strength,2 MG/ML,
AEMPS,605786,RxNorm,2551,ciprofloxacin
AEMPS,605786,Route,Injectable Product,
AEMPS,605787,Strength,2 MG/ML,
AEMPS,605787,RxNorm,2551,ciprofloxacin
AEMPS,605787,Route,Injectable Product,
AEMPS,605846,Strength,50 MG/ML,
AEMPS,605846,RxNorm,703,amiodarone
AEMPS,605846,Route,Injectable Product,
AEMPS,605873,RxNorm,154,acenocoumarol
AEMPS,605873,Strength,4 MG,
AEMPS,605873,Route,Oral Product,
AEMPS,605881,RxNorm,2002,carbamazepine
AEMPS,605931,Strength,25 MG/ML,
AEMPS,605931,RxNorm,3355,diclofenac
AEMPS,605931,Route,Injectable Product,
AEMPS,605932,Strength,100 MG/ML,
AEMPS,605932,RxNorm,114477,levetiracetam
AEMPS,605932,Route,Injectable Product,
AEMPS,605946,RxNorm,11124,vancomycin
AEMPS,605946,Strength,500 MG,
AEMPS,605946,Route,Injectable Product,
AEMPS,605947,Strength,1000 MG,
AEMPS,605947,RxNorm,11124,vancomycin
AEMPS,605947,Route,Injectable Product,
AEMPS,605949,RxNorm,3355,diclofenac
AEMPS,605949,Strength,50 MG,
AEMPS,605949,Route,Oral Product,
AEMPS,605958,Strength,0.5 MG/ML,
AEMPS,605958,RxNorm,19831,budesonide
AEMPS,605958,Route,Inhalant Product,
AEMPS,605959,Strength,0.25 MG/ML,
AEMPS,605959,RxNorm,19831,budesonide
AEMPS,605959,Route,Inhalant Product,
AEMPS,605971,Strength,5 MG/ML,
AEMPS,605971,RxNorm,82122,levofloxacin
AEMPS,605971,Route,Injectable Product,
AEMPS,605977,Strength,25000 UNT/ML,
AEMPS,605977,RxNorm,280611,bemiparin
AEMPS,605977,Route,Injectable Product,
AEMPS,605985,RxNorm,114477,levetiracetam
AEMPS,605985,Strength,500 MG,
AEMPS,605985,Route,Oral Product,
AEMPS,605990,Strength,100 MG,
AEMPS,605990,RxNorm,1191,aspirin
AEMPS,605990,Route,Oral Product,
AEMPS,605991,RxNorm,1191,aspirin
AEMPS,605991,Strength,300 MG,
AEMPS,605991,Route,Oral Product,
AEMPS,605995,Strength,5 MG/ML,
AEMPS,605995,RxNorm,82122,levofloxacin
AEMPS,605995,Route,Injectable Product,
AEMPS,606021,RxNorm,48203,clavulanate
AEMPS,606021,RxNorm,723,amoxicillin
AEMPS,606021,Route,Injectable Product,
AEMPS,606061,Strength,1000 MG,
AEMPS,606061,RxNorm,2186,cefotaxime
AEMPS,606061,Route,Injectable Product,
AEMPS,606070,RxNorm,4850,glucose
AEMPS,606070,Strength,50 MG/ML,
AEMPS,606070,Route,Injectable Product,
AEMPS,606072,RxNorm,4850,glucose
AEMPS,606072,Strength,50 MG/ML,
AEMPS,606072,Route,Injectable Product,
AEMPS,606077,RxNorm,1307106,succinate
AEMPS,606077,RxNorm,1901,calcium chloride
AEMPS,606077,RxNorm,56443,sodium acetate
AEMPS,606077,RxNorm,6579,magnesium chloride
AEMPS,606077,RxNorm,8591,potassium chloride
AEMPS,606077,RxNorm,9863,sodium chloride
AEMPS,606077,Route,Injectable Product,
AEMPS,606085,Strength,2 MG/ML,
AEMPS,606085,RxNorm,4450,fluconazole
AEMPS,606085,Route,Injectable Product,
AEMPS,606137,Strength,150 MG/ML,
AEMPS,606137,RxNorm,2582,clindamycin
AEMPS,606137,Route,Injectable Product,
AEMPS,606217,Strength,20 MG,
AEMPS,606217,RxNorm,283742,esomeprazole
AEMPS,606217,Route,Oral Product,
AEMPS,606249,Strength,0.02 MG,
AEMPS,606249,RxNorm,598,alprostadil
AEMPS,606249,Route,Injectable Product,
AEMPS,606291,Strength,0.04 MG/ML,
AEMPS,606291,RxNorm,77655,zoledronic acid
AEMPS,606291,Route,Injectable Product,
AEMPS,606316,Strength,1000 MG,
AEMPS,606316,RxNorm,29561,meropenem
AEMPS,606316,Route,Injectable Product,
AEMPS,606345,Strength,150 MG/ML,
AEMPS,606345,RxNorm,236741,magnesium sulfate heptahydrate
AEMPS,606345,Route,Injectable Product,
AEMPS,606347,RxNorm,29561,meropenem
AEMPS,606347,Strength,500 MG,
AEMPS,606347,Route,Injectable Product,
AEMPS,606348,Strength,1000 MG,
AEMPS,606348,RxNorm,29561,meropenem
AEMPS,606348,Route,Injectable Product,
AEMPS,606351,Strength,2 MG/ML,
AEMPS,606351,RxNorm,4450,fluconazole
AEMPS,606351,Route,Injectable Product,
AEMPS,606360,Strength,300 MG/ML,
AEMPS,606360,RxNorm,4850,glucose
AEMPS,606360,Route,Injectable Product,
AEMPS,606389,RxNorm,11124,vancomycin
AEMPS,606389,Strength,500 MG,
AEMPS,606389,Route,Injectable Product,
AEMPS,606390,Strength,1000 MG,
AEMPS,606390,RxNorm,11124,vancomycin
AEMPS,606390,Route,Injectable Product,
AEMPS,606405,Strength,5 MG/ML,
AEMPS,606405,RxNorm,6915,metoclopramide
AEMPS,606405,Route,Injectable Product,
AEMPS,606412,Strength,100 MG,
AEMPS,606412,RxNorm,10737,trazodone
AEMPS,606412,Route,Oral Product,
AEMPS,606447,Strength,2000 MG,
AEMPS,606447,RxNorm,20481,cefepime
AEMPS,606447,Route,Injectable Product,
AEMPS,606448,Strength,1000 MG,
AEMPS,606448,RxNorm,20481,cefepime
AEMPS,606448,Route,Injectable Product,
